"il","bolge","GSYH","bebek_olum_hizi","cocuk_olum_hizi","derslik_basina_ogrenci","girisim_sayisi","hastane_sayisi","hastane_yatak_sayisi","ihracat","isgucune_katilma_orani","issizlik_orani","istihdam_orani","kutuphane_sayisi","muze_sayisi","ogretmen_basina_ogrenci","sinema_sayisi","tiyatro_sayisi","toplam_hekim_sayisi"
"Gümüşhane","Karadeniz",150.77151178677,9.8,11.5666666666667,12.5,0.0341866010880095,4.14006673787581e-05,249.833333333333,0.501567705271409,50.975,11.025,45.3,6.21010010681372e-05,6.90011122979302e-06,13.75,1.3800222459586e-05,1.55252502670343e-05,2
"Hakkari","Doğu Anadolu",153.923112395299,13.475,16.55,21.5,0.0203476645132597,1.78183497642276e-05,162.5,0.29978233103928,44.9,20.8,35.375,1.42546798113821e-05,0,17,3.56366995284552e-06,1.78183497642276e-06,1.25
"Hatay","Akdeniz",196.850220852566,13.075,22.1166666666667,23.5,0.0415500731180057,1.44569575025143e-05,275,2.1262403914086,49.025,12.925,42.725,1.43015063465733e-05,2.3317673391152e-06,17.25,1.57005667500424e-05,7.30620432922764e-06,2
"Isparta","Akdeniz",206.812209181489,8.2,9.46666666666667,16.25,0.0507286252313558,3.35947452443279e-05,474.166666666667,0.663919064435617,53.875,7.225,49.975,6.71894904886557e-05,6.71894904886557e-06,13.5,4.19934315554098e-05,7.83877389034317e-06,3
"Iğdır","Doğu Anadolu",142.699275538472,11.525,13.5,17.25,0.0270329991958531,1.94473264301807e-05,156.333333333333,0.391819871083673,53.325,12.85,46.475,1.82318685282944e-05,4.86183160754517e-06,14.75,7.29274741131776e-06,7.29274741131776e-06,1
"Kahramanmaraş","Akdeniz",187.148021750046,12.95,21.55,24.75,0.0362934420052439,1.52286870174138e-05,261,1.0697853277257,49,12.825,42.75,1.26180549572857e-05,1.74042137341872e-06,18.25,9.57231755380295e-06,2.1755267167734e-06,2
"Karabük","Karadeniz",203.998126212024,8.5,7.8,18.5,0.0488320804278579,2.38724447531947e-05,296.666666666667,1.24154617050177,49.525,11.05,44.075,2.88458707434436e-05,2.98405559414934e-06,14.75,5.57023710907877e-05,9.9468519804978e-06,2
"Karaman","İç Anadolu",254.114817249932,7.55,8.86666666666667,15.5,0.0471726765802097,2.29220756397933e-05,238.166666666667,1.19070632083876,53.95,7.375,49.975,2.76975080647503e-05,6.68560539493972e-06,14.75,1.52813837598622e-05,1.7191556729845e-05,2
"Kars","Doğu Anadolu",149.888811201775,11.8,14,13.75,0.0285007909666951,2.90796579069044e-05,283.666666666667,0.00942689810197073,56.525,7.45,52.3,3.08971365260859e-05,7.2699144767261e-06,13.75,2.72621792877229e-06,1.09048717150891e-05,2
"Kastamonu","Karadeniz",213.24054064271,6.775,7.95,16.5,0.0487931463565999,5.25038564082532e-05,307.333333333333,0.817185772294975,56.5,4.575,53.9,4.92223653827374e-05,5.25038564082532e-06,15,4.26593833317057e-05,2.16578407684044e-05,2
